id_of_Operation,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
O328,5.0,17.0,12.0,2017-10-14 00:05:00,2017-10-14 00:17:00,0,1
O33,1026.0,1034.0,8.0,2017-10-14 17:06:00,2017-10-14 17:14:00,0,1
O333,1745.0,1760.0,15.0,2017-10-15 05:05:00,2017-10-15 05:20:00,0,1
O334,5.0,17.0,12.0,2017-10-14 00:05:00,2017-10-14 00:17:00,0,1
O336,1760.0,1772.0,12.0,2017-10-15 05:20:00,2017-10-15 05:32:00,0,1
O338,5.0,20.0,15.0,2017-10-14 00:05:00,2017-10-14 00:20:00,0,1
O349,1707.0,1722.0,15.0,2017-10-15 04:27:00,2017-10-15 04:42:00,0,1
O355,1336.0,1348.0,12.0,2017-10-14 22:16:00,2017-10-14 22:28:00,0,1
O36,20.0,32.0,12.0,2017-10-14 00:20:00,2017-10-14 00:32:00,0,1
O361,1504.0,1526.0,22.0,2017-10-15 01:04:00,2017-10-15 01:26:00,0,1
O365,984.0,1006.0,22.0,2017-10-14 16:24:00,2017-10-14 16:46:00,0,1
O370,882.0,894.0,12.0,2017-10-14 14:42:00,2017-10-14 14:54:00,0,1
O371,1621.0,1636.0,15.0,2017-10-15 03:01:00,2017-10-15 03:16:00,0,1
O375,329.0,341.0,12.0,2017-10-14 05:29:00,2017-10-14 05:41:00,0,1
O38,5.0,20.0,15.0,2017-10-14 00:05:00,2017-10-14 00:20:00,0,1
O382,321.0,329.0,8.0,2017-10-14 05:21:00,2017-10-14 05:29:00,0,1
O385,1601.0,1621.0,20.0,2017-10-15 02:41:00,2017-10-15 03:01:00,0,1
O387,1636.0,1644.0,8.0,2017-10-15 03:16:00,2017-10-15 03:24:00,0,1
O392,730.0,742.0,12.0,2017-10-14 12:10:00,2017-10-14 12:22:00,0,1
O393,722.0,730.0,8.0,2017-10-14 12:02:00,2017-10-14 12:10:00,0,1
O402,372.0,392.0,20.0,2017-10-14 06:12:00,2017-10-14 06:32:00,0,1
O408,1425.0,1433.0,8.0,2017-10-14 23:45:00,2017-10-14 23:53:00,0,1
O411,1433.0,1441.0,8.0,2017-10-14 23:53:00,2017-10-15 00:01:00,0,1
O412,141.0,163.0,22.0,2017-10-14 02:21:00,2017-10-14 02:43:00,0,1
O418,1395.0,1415.0,20.0,2017-10-14 23:15:00,2017-10-14 23:35:00,0,1
O423,642.0,657.0,15.0,2017-10-14 10:42:00,2017-10-14 10:57:00,0,1
O430,894.0,906.0,12.0,2017-10-14 14:54:00,2017-10-14 15:06:00,0,1
O431,622.0,642.0,20.0,2017-10-14 10:22:00,2017-10-14 10:42:00,0,1
